name,smiles,is_papota
bromperidol-decanoate,C1=CC(=CC=C1C3(CCN(CCCC(C2=CC=C(C=C2)F)=O)CC3)OC(CCCCCCCCC)=O)Br,0
1-(1-Phenylcyclohexyl)pyrrolidine,C1CCC(CC1)(C2=CC=CC=C2)N3CCCC3,1
methylprednisolone,[C@H]24[C@H]1[C@@]([C@](C(CO)=O)(O)CC1)(C[C@@H]([C@@H]2[C@@]3(C(=CC(=O)C=C3)[C@H](C4)C)C)O)C,0
Methyldihydromorphine,CC1(CCC2C3CC4=C5C2(C1OC5=C(C=C4)O)CCN3C)O,1
roxithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)\C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,0
Fludiazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F,1
cloroperone,C3=C(C(C2CCN(CCCC(C1=CC=C(F)C=C1)=O)CC2)=O)C=CC(=C3)Cl,0
Fluroxene,FC(F)(F)COC=C,0
paramethasone-acetate,[C@]34([C@H]([C@H]2[C@@H]([C@@]1(C(=CC(=O)C=C1)[C@H](C2)F)C)[C@H](C3)O)C[C@H]([C@@]4(C(COC(C)=O)=O)O)C)C,0
5-69,c1nc(C2CCN(CC2)C(NC2CCCCC2)=S)c[nH]1,0
metampicillin,CC1(C)SC2C(NC(=O)C(N=C)c3ccccc3)C(=O)N2C1C(O)=O,0
SPA,CN(C)C(CC1=CC=CC=C1)C2=CC=CC=C2,1
Meprobamate,CCCC(C)(COC(=O)N)COC(=O)N,1
desonide,[C@]12(OC(O[C@@H]1C[C@@H]3C2(CC(O)[C@H]4C3CCC5=CC(=O)C=CC45C)C)(C)C)C(=O)CO,0
tametraline,CNC2CCC(c1ccccc1)c3ccccc23,0
cathinone,[C@@H](C(C1=CC=CC=C1)=O)(C)N,0
1-Androstenediol (3beta-17beta-dihydroxy-5alpha-androst-1-ene; 3alpha-17beta-dihydroxy-5alpha-androst-1-ene),CC12CCC3C(C1CCC2O)CCC4C3(C=CC(C4)O)C,1
glycopyrrolate,[Br-].C[N+]1(C)CCC(C1)OC(=O)C(O)(C2CCCC2)c3ccccc3,0
cyprazepam,C4=C(C2=C3C(=NC(=NCC1CC1)CN2O)C=CC(=C3)Cl)C=CC=C4,0
aminophylline,CN1C(=O)N(C)c2nc[nH]c2C1=O.CN3C(=O)N(C)c4nc[nH]c4C3=O.NCCN,0
napitane,C5CC(CN1CCC(C1)c2ccccc2)c4ccc3OCOc3c4C5,0
chloroprednisone,[C@H]24[C@H]1[C@@]([C@](C(COC(C)=O)=O)(O)CC1)(CC([C@@H]2[C@@]3(C(=CC(=O)C=C3)[C@H](C4)Cl)C)=O)C,0
Ipratropiumbromide,[Br-].CC(C)[N+]1(C)C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3,0
2ÃÅ½ÃÂ±-3ÃÅ½ÃÂ±-epithio-17ÃÅ½ÃÂ±-methyl-5ÃÅ½ÃÂ±-androstan-17ÃÅ½ÃÂ²-ol,CC12CCC3C(C1CCC2(C)O)CCC4C3(CC5C(C4)S5)C,1
medazepam,CN1CCN=C(c2ccccc2)c3cc(Cl)ccc13,0
Enflurane,FC(F)OC(F)(F)C(F)Cl,0
pivenfrine,CNCC(O)c1cccc(OC(=O)C(C)(C)C)c1,0
dexamethasone-acefurate,[C@]4([C@@]3([C@H]([C@H]2[C@]([C@@]1(C(=CC(=O)C=C1)CC2)C)(F)[C@H](C3)O)C[C@H]4C)C)(OC(C5=CC=CO5)=O)C(COC(C)=O)=O,0
pristinamycin-ic,CC1OC(=O)C(NC(=O)C2CC(=O)CCN2C(=O)C(Cc3ccc(cc3)N(C)C)N(C)C(=O)C4CCCN4C(=O)C(C)NC(=O)C1NC(=O)c5ncccc5O)c6ccccc6,0
bazinaprine,C1=C(C(=NN=C1C2=CC=CC=C2)NCCN3CCOCC3)C#N,0
tolquinzole,C1=C(C)C=CC2=C1C3N(CC2)CCC(C3)(CC)O,0
flutazolam,C1=C(Cl)C=CC2=C1C3(N(CC(=O)N2CCO)CCO3)C4=CC=CC=C4F,0
9-OH-risperidone,c1(c2c(cc(F)cc2)on1)C1CCN(CCc2c(n3c([C@@H](CCC3)O)nc2C)=O)CC1,0
darvon(dextropropoxypheneandlevopropoxyphene),[C@](OC(=O)CC)([C@@H](CN(C)C)C)(CC1=CC=CC=C1)C2=CC=CC=C2.[H+].[Cl-],0
clocortolone,[C@@]24(Cl)C1(C(=CC(=O)C=C1)[C@@H](F)CC2C3C(C([C@@H](C3)C)C(=O)CO)(CC4O)C)C,0
alclometasone-dipropionate,[C@@]4([C@@]3([C@H]([C@H]2[C@@H]([C@@]1(C(=CC(=O)C=C1)C[C@H]2Cl)C)[C@H](C3)O)C[C@H]4C)C)(C(COC(CC)=O)=O)OC(CC)=O,0
oleandomycin,COC1CC(OC(C)C1O)O[C@H]2[C@H](C)[C@@H](OC3OC(C)CC(C3O)N(C)C)[C@@H](C)C[C@]4(CO4)C(=O)[C@H](C)[C@@H](O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C,0
3-Methylfentanyl,CCC(=O)N(C1CCN(CC1C)CCC2=CC=CC=C2)C3=CC=CC=C3,1
brotizolam,C1=C(Br)SC2=C1C(=NCC3=NN=C([N]23)C)C4=C(C=CC=C4)Cl,0
pipofezine,C2=C(N1CCN(C)CC1)N=NC3=C2N(C4=C(O3)C=CC=C4)C,0
Dexamfetamine,C[C@H](N)Cc1ccccc1,0
piroxicam,CN1C(=C(/O)Nc2ccccn2)/C(=O)c3ccccc3[S]1(=O)=O,0
nabazenil,C1=C(C(C(CCCCC)C)C)C=C(C2=C1OC(C3=C2CC(C)CC3)(C)C)OC(CCCN4CCCCCC4)=O,0
sulpiride,C1=C([S](=O)(=O)N)C=CC(=C1C(NCC2N(CC)CCC2)=O)OC,0
Butalbital,CCOC1=CC=C(C=C1)NC(=O)C,1
alozafone,C1=C(C(=CC=C1Cl)N(C(CN(C(CC#N)C)C)=O)C)C(C2=C(C=CC=C2)F)=O,0
Brivaracetam,CCCC1CC(=O)N(C1)C(CC)C(=O)N,1
compound 45,N1(Cc2cc(OCCCNc3oc4ccccc4n3)ccc2)CCCCC1,0
ceftioxide,CO/N=C(C(=O)N[C@H]1[C@@H]2N(C1=O)C(=C(COC(C)=O)C[S]2=O)C(O)=O)/c3csc(N)n3,0
Midazolam,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,1
Isoproterenol,CC(C)NCC(O)c1ccc(O)c(O)c1,0
panadiplon,C1=NC(=C3[N]1C2=C(C=CC=C2)N(C3=O)C(C)C)C4=NOC(=N4)C5CC5,0
cefoxitin,CO[C@]1(NC(=O)Cc2sccc2)[C@H]3SCC(=C(N3C1=O)C(O)=O)COC(N)=O,0
Phencyclidine,C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3,1
oxaflumazine,OC(=O)CCC(O)=O.FC(F)(F)c1ccc2Sc3ccccc3N(CCCN4CCN(CCC5OCCCO5)CC4)c2c1,0
Nabilone,CCCCCCC(C)(C)C1=CC(=C2C3CC(=O)CCC3C(OC2=C1)(C)C)O,1
Psilocyn,CN(C)CCC1=CNC2=C1C(=CC=C2)O,1
iloperidone,C1=CC(=CC2=C1C(=NO2)C4CCN(CCCOC3=C(C=C(C(C)=O)C=C3)OC)CC4)F,0
betamethadol,C2=C(C(CC(N(C)C)C)(C(CC)O)C1=CC=CC=C1)C=CC=C2,0
tolboxane,C1=CC(=CC=C1B2OCC(CCC)(C)CO2)C,0
Ketorolac,OC(=O)C1CCn2c1ccc2C(=O)c3ccccc3,0
Bacitracin,CCC(C)C(N)C1=NC(CS1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(O)=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)NCCCC[C@@H]2NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(O)=O)NC(=O)[C@H](Cc3[nH]cnc3)NC(=O)[C@@H](Cc4ccccc4)NC(=O)[C@@H](NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC,0
sulfasalazine,OC(=O)C1=C\C(C=CC1=O)=N/Nc2ccc(cc2)[S](=O)(=O)Nc3ccccn3,0
granisetron,CN1[C@H]2CCC[C@@H]1CC(C2)NC(=O)c3nn(C)c4ccccc34,0
Phenomorphan,C1CCC23CCN(C(C2C1)CC4=C3C=C(C=C4)O)CCC5=CC=CC=C5,1
CP-47-497 (5-(1-1-Dimethylheptyl)-2-[(1R-3S)-3-hydroxycyclohexyl-phenol),CCCCCCC(C)(C)C1=CC(=C(C=C1)C2CCCC(C2)O)O,1
Dichloromethane,ClCCl,0
aspirin,C1=CC=CC(=C1C(O)=O)OC(C)=O,0
5FÃÂ¢â¬âAMB (Methyl 2-(1-(5-fluoropentyl)-1H-indazole-3-carboxamido)-3-methylbutanoate),CC(C)C(C(=O)OC)NC(=O)C1=NN(C2=CC=CC=C21)CCCCCF,1
temazepam,CN1C(=O)C(O)N=C(c2ccccc2)c3cc(Cl)ccc13,0
Colchicine,COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(C)=O,0
